Burkina Faso,84.67
Mali,84.58
Aruba,84.51
Senegal,84.04
Mauritania,83.88
Djibouti,83.3
The Gambia,83.05
United Arab Emirates,82.71
Guinea-Bissau,82.49
Niger,82.49
